time,theta,tvc,combined
0.000000000000000000e+00,1.000000007412991643e+01,0.000000000000000000e+00,1.000000007412991643e+01
1.000000000000000021e-02,9.999994623353259726e+00,0.000000000000000000e+00,9.999994623353259726e+00
2.000000000000000042e-02,1.000003645056151313e+01,-5.636301931341964888e-01,1.056366664369570962e+01
2.999999999999999889e-02,1.000001680607028298e+01,-2.389378706899343729e+00,1.238939551296962627e+01
4.000000000000000083e-02,9.999500323200248175e+00,-4.290743026366325097e+00,1.429024334956657327e+01
5.000000000000000278e-02,9.997889069224415337e+00,-5.723395118568860518e+00,1.572128418779327674e+01
5.999999999999999778e-02,9.994457079423495927e+00,-6.595280148046522406e+00,1.658973722747001744e+01
7.000000000000000666e-02,9.988481296586503078e+00,-7.017088535417889794e+00,1.700556983200439376e+01
8.000000000000000167e-02,9.979366837964457559e+00,-7.150551505187919155e+00,1.712991834315237583e+01
8.999999999999999667e-02,9.966493627147144707e+00,-7.135147775523766889e+00,1.710164140267091071e+01
1.000000000000000056e-01,9.949294287286434724e+00,-7.064994399589168417e+00,1.701428868687560225e+01
1.100000000000000006e-01,9.927230466541505649e+00,-6.991615435683478097e+00,1.691884590222498375e+01
1.199999999999999956e-01,9.899767146863110767e+00,-6.936204006530743982e+00,1.683597115339385653e+01
1.300000000000000044e-01,9.866439851038274256e+00,-6.902418039859898435e+00,1.676885789089817180e+01
1.400000000000000133e-01,9.826716996297221840e+00,-6.886031479986539416e+00,1.671274847628376037e+01
1.499999999999999944e-01,9.780061889319293655e+00,-6.880812966978504086e+00,1.666087485629779863e+01
1.600000000000000033e-01,9.725921177512187654e+00,-6.881373208378345652e+00,1.660729438589053331e+01
1.700000000000000122e-01,9.663666263558386760e+00,-6.884068625858912327e+00,1.654773488941729909e+01
1.799999999999999933e-01,9.592688095702577300e+00,-6.886900454220246992e+00,1.647958854992282340e+01
1.900000000000000022e-01,9.512253061703953350e+00,-6.889043593653008557e+00,1.640129665535696191e+01
2.000000000000000111e-01,9.421255689964864288e+00,-6.890352792069283971e+00,1.631160848203414915e+01
2.099999999999999922e-01,9.318571839216502894e+00,-6.890989363180737293e+00,1.620956120239723930e+01
2.200000000000000011e-01,9.203059064980822157e+00,-6.891193386784951080e+00,1.609425245176577235e+01
2.300000000000000100e-01,9.073573990101488462e+00,-6.824726775347710550e+00,1.589830076544919990e+01
2.399999999999999911e-01,8.929233047786931721e+00,-6.508217613028271842e+00,1.543745066081520356e+01
2.500000000000000000e-01,8.769759686585523184e+00,-5.929213381569008234e+00,1.469897306815453142e+01
2.600000000000000089e-01,8.595461142093729023e+00,-5.177683076083554603e+00,1.377314421817728274e+01
2.700000000000000178e-01,8.406888437346358600e+00,-4.356916332687959859e+00,1.276380477003431935e+01
2.800000000000000266e-01,8.205103106551353775e+00,-3.532284494605011371e+00,1.173738760115636559e+01
2.899999999999999800e-01,7.991617229842747250e+00,-2.755246744606631992e+00,1.074686397444937924e+01
2.999999999999999889e-01,7.768216662801676442e+00,-2.066123768558994822e+00,9.834340431360670820e+00
3.099999999999999978e-01,7.536808575626826823e+00,-1.484579200115623276e+00,9.021387775742450543e+00
3.200000000000000067e-01,7.299203679491055752e+00,-1.012174948558349330e+00,8.311378628049405748e+00
3.300000000000000155e-01,7.056993503318909511e+00,-6.388630782741484548e-01,7.695856581593058188e+00
3.400000000000000244e-01,6.811577597738599721e+00,-3.487726105859993986e-01,7.160350208324599564e+00
3.500000000000000333e-01,6.564247450847605414e+00,-1.264025472831633856e-01,6.690649998130768772e+00
3.599999999999999867e-01,6.316143262507462275e+00,4.168379332814389771e-02,6.274459469179318738e+00
3.699999999999999956e-01,6.068258899633045544e+00,1.671350444903659249e-01,5.901123855142679453e+00
3.800000000000000044e-01,5.821481659319863056e+00,2.598112438767625765e-01,5.561670415443100701e+00
3.900000000000000133e-01,5.576538408887776299e+00,3.276896496494173250e-01,5.248848759238359030e+00
4.000000000000000222e-01,5.334023791184326235e+00,3.764777075405584261e-01,4.957546083643768142e+00
4.100000000000000311e-01,5.094494929452719312e+00,4.101269832081750333e-01,4.684367946244544001e+00
4.199999999999999845e-01,4.858434776605438543e+00,4.322045474548137922e-01,4.426230229150625028e+00
4.299999999999999933e-01,4.626254008329039991e+00,4.456279964931318949e-01,4.180626011835908429e+00
4.400000000000000022e-01,4.398294272698416663e+00,4.526565489623797789e-01,3.945637723736036939e+00
4.500000000000000111e-01,4.174894350270078824e+00,4.547263514537511764e-01,3.720167998816327426e+00
4.600000000000000200e-01,3.956382271196381417e+00,4.526940824405311092e-01,3.503688188755850419e+00
4.700000000000000289e-01,3.743021225335208868e+00,4.474259163868201661e-01,3.295595308948388702e+00
4.799999999999999822e-01,3.535020403786953036e+00,4.396943702109740726e-01,3.095326033575978908e+00
4.899999999999999911e-01,3.332389406143132060e+00,4.301878930578287297e-01,2.902201513085303386e+00
5.000000000000000000e-01,3.135152926843492338e+00,4.202589833824275645e-01,2.714893943461064829e+00
5.100000000000000089e-01,2.943327609874090367e+00,4.111894006297464044e-01,2.532138209244343852e+00
5.200000000000000178e-01,2.756911136006618968e+00,4.031466684774940301e-01,2.353764467529124715e+00
5.300000000000000266e-01,2.575980682378705477e+00,3.958117388146902837e-01,2.180168943564015027e+00
5.400000000000000355e-01,2.400658224377093752e+00,3.887678566250533652e-01,2.011890367752040554e+00
5.500000000000000444e-01,2.231028687659668108e+00,3.815939086609932418e-01,1.849434778998674922e+00
5.600000000000000533e-01,2.067072193709340144e+00,3.739534390009296994e-01,1.693118754708410556e+00
5.700000000000000622e-01,1.908759654521799298e+00,3.657052753561078617e-01,1.543054379165691437e+00
